change_date,price_change,product_id,vendor,product_name,old_price
2024-08-15,-2,711970,Voila,Smoked Classic Cut Bacon,7.99
2024-08-22,2,711970,Voila,Smoked Classic Cut Bacon,5.99
2024-10-24,-2,711970,Voila,Smoked Classic Cut Bacon,7.99
2024-10-31,2,711970,Voila,Smoked Classic Cut Bacon,5.99
2024-11-14,-2,711970,Voila,Smoked Classic Cut Bacon,7.99
2024-08-08,-0.5,712154,Voila,Lactose-Free 2% Milk,6.49
2024-08-15,0.5,712154,Voila,Lactose-Free 2% Milk,5.99
2024-09-05,-0.5,712154,Voila,Lactose-Free 2% Milk,6.49
2024-09-12,0.5,712154,Voila,Lactose-Free 2% Milk,5.99
2024-08-08,-1.5,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,4.49
2024-08-15,1.5,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,2.99
2024-09-12,-1,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,4.49
2024-09-19,1,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,3.49
2024-10-03,-1.4900000000000002,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,4.49
2024-10-10,1.4900000000000002,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,3.00
2024-10-24,-1.4900000000000002,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,4.49
2024-10-31,1.4900000000000002,712206,Voila,100% Whole Grain Ancient with Quinoa Bread,3.00
2024-10-08,2,917272,Galleria,Smoked Classic Cut Bacon,7.99
2024-08-15,-2,1695676,Loblaws,Smoked Classic Cut Bacon,8.99
2024-08-29,2,1695676,Loblaws,Smoked Classic Cut Bacon,6.99
2024-09-26,-4,1695676,Loblaws,Smoked Classic Cut Bacon,8.99
2024-10-03,4,1695676,Loblaws,Smoked Classic Cut Bacon,4.99
2024-11-14,-1.9900000000000002,1695676,Loblaws,Smoked Classic Cut Bacon,8.99
2024-10-10,-0.34999999999999964,1704900,Loblaws,Lactose-Free 2% Milk,7.14
2024-10-31,0.34999999999999964,1704900,Loblaws,Lactose-Free 2% Milk,6.79
2024-11-14,-0.6499999999999995,1704900,Loblaws,Lactose-Free 2% Milk,7.14
2024-08-08,0.39999999999999947,2321339,Metro,Lactose-Free 2% Milk,5.99
2024-08-30,-0.39999999999999947,2321339,Metro,Lactose-Free 2% Milk,6.39
2024-09-06,0.39999999999999947,2321339,Metro,Lactose-Free 2% Milk,5.99
2024-09-26,-0.9199999999999999,2321339,Metro,Lactose-Free 2% Milk,6.39
2024-10-03,0.5200000000000005,2321339,Metro,Lactose-Free 2% Milk,5.47
2024-10-11,0.2999999999999998,2321339,Metro,Lactose-Free 2% Milk,5.99
2024-11-14,0.20000000000000018,2321339,Metro,Lactose-Free 2% Milk,6.29
2024-11-07,-3.1100000000000003,2328223,Metro,Smoked Classic Cut Bacon,7.99
2024-11-14,3.1100000000000003,2328223,Metro,Smoked Classic Cut Bacon,4.88
2024-08-08,-3,2886297,NoFrills,Smoked Classic Cut Bacon,8.99
2024-08-15,-0.5499999999999998,2886297,NoFrills,Smoked Classic Cut Bacon,5.99
2024-08-22,0.5499999999999998,2886297,NoFrills,Smoked Classic Cut Bacon,5.44
2024-08-29,3,2886297,NoFrills,Smoked Classic Cut Bacon,5.99
2024-09-05,-5,2886297,NoFrills,Smoked Classic Cut Bacon,8.99
2024-09-19,5,2886297,NoFrills,Smoked Classic Cut Bacon,3.99
2024-10-17,-3,2886297,NoFrills,Smoked Classic Cut Bacon,8.99
2024-10-24,3,2886297,NoFrills,Smoked Classic Cut Bacon,5.99
2024-11-07,-3,2886297,NoFrills,Smoked Classic Cut Bacon,8.99
2024-11-14,3,2886297,NoFrills,Smoked Classic Cut Bacon,5.99
